status,month,credit_history,purpose,credit_amount,savings,employment,investment_as_income_percentage,personal_status,other_debtors,residence_since,property,age,installment_plans,housing,number_of_credits,skill_level,people_liable_for,telephone,foreign_worker,credit,sex,mature
3,24,2,1,3181,2,5,4,2,1,4,2,26,1,1,1,1,1,1,1,1,0,1
3,27,2,8,5190,1,1,4,1,1,4,2,48,1,1,4,1,2,1,1,1,1,1
3,12,2,1,2171,2,5,2,2,1,2,4,29,2,1,1,1,1,2,1,1,0,1
2,12,2,4,1007,4,2,4,4,1,1,1,22,1,1,1,1,1,2,1,1,1,0
3,36,2,2,1819,2,2,4,1,1,4,3,37,3,2,1,1,1,1,1,0,1,1
3,36,2,1,2394,1,2,4,2,1,4,4,25,1,1,1,1,1,2,1,1,0,0
3,36,2,5,8133,2,2,1,2,1,2,2,30,2,1,1,1,1,2,1,1,0,1
3,7,1,1,730,1,1,4,1,1,2,2,46,1,3,2,2,1,1,1,1,1,1
1,8,1,9,1164,2,1,3,1,1,4,3,51,2,2,2,3,2,1,1,1,1,1
2,42,1,6,5954,2,3,2,2,1,1,1,41,2,1,2,2,1,2,1,1,0,1
1,36,2,2,1977,1,1,4,1,1,4,3,40,1,1,1,3,1,1,1,0,1,1
1,12,1,5,1526,2,1,4,1,1,4,3,66,1,2,2,3,1,2,1,1,1,1
1,42,2,1,3965,2,5,4,1,1,3,4,34,1,1,1,1,1,2,1,0,1,1
2,11,3,1,4771,2,3,2,1,1,4,2,51,1,1,1,1,1,2,1,1,1,1
3,54,4,5,9436,1,2,2,1,1,2,2,39,1,1,1,2,2,2,1,1,1,1
2,30,2,3,3832,2,5,2,4,1,1,2,22,1,1,1,1,1,2,1,1,1,0
3,24,2,1,5943,1,5,1,2,1,1,4,44,1,1,2,1,1,1,1,0,0,1
3,15,2,1,1213,3,1,4,1,1,3,2,47,3,1,1,1,1,1,1,1,1,1
3,18,2,6,1568,5,2,3,2,1,4,2,24,1,3,1,2,1,2,1,1,0,0
1,24,2,9,1755,2,1,4,2,2,4,1,58,1,1,1,2,1,1,1,1,0,1
1,10,2,1,2315,2,1,3,1,1,4,1,52,1,1,1,2,1,2,1,1,1,1
3,12,1,6,1412,2,2,4,2,2,2,1,29,1,1,2,3,1,1,1,1,0,1
2,18,1,3,1295,2,5,4,2,1,1,2,27,1,1,2,1,1,2,1,1,0,1
2,36,2,2,12612,5,2,1,1,1,4,3,47,1,2,1,1,2,1,1,0,1,1
1,18,2,4,2249,5,3,4,1,1,3,4,30,1,1,1,3,2,1,1,1,1,1
1,12,4,8,1108,2,3,4,1,1,3,1,28,1,1,2,1,1,2,1,0,1,1
3,12,1,1,618,2,1,4,1,1,4,1,56,1,1,1,1,1,2,1,1,1,1
1,12,1,5,1409,2,1,4,1,1,3,1,54,1,1,1,1,1,2,1,1,1,1
3,12,1,1,797,1,1,4,2,1,3,2,33,2,1,1,2,2,2,1,0,0,1
4,24,1,3,3617,1,1,4,1,3,4,3,20,1,3,2,1,1,2,1,1,1,0
2,12,2,4,1318,4,1,4,1,1,4,1,54,1,1,1,1,1,1,1,1,1,1
2,54,4,6,15945,2,5,3,1,1,4,3,58,1,3,1,1,1,1,1,0,1,1
3,12,1,2,2012,1,3,4,2,1,2,4,61,1,1,1,1,1,2,1,1,0,1
2,18,2,6,2622,5,2,4,1,1,4,4,34,1,1,1,1,1,2,1,1,1,1
2,36,1,1,2337,2,1,4,1,1,4,1,36,1,1,1,1,1,2,1,1,1,1
2,20,3,5,7057,1,3,3,1,1,4,2,36,2,3,2,3,2,1,1,1,1,1
3,24,2,4,1469,5,1,4,4,1,4,1,41,1,3,1,2,1,2,1,1,1,1
2,36,2,1,2323,2,3,4,1,1,4,4,24,1,3,1,1,1,2,1,1,1,0
3,6,3,1,932,2,2,3,2,1,2,1,24,1,1,1,1,1,2,1,1,0,0
2,9,1,3,1919,2,3,4,1,1,3,4,35,1,3,1,1,1,1,1,1,1,1
3,12,2,5,2445,1,5,2,4,1,4,4,26,1,3,1,1,1,1,1,1,1,1
2,24,1,9,11938,2,2,2,1,3,3,4,39,1,1,2,3,2,1,1,0,1,1
3,18,5,4,6458,2,1,2,1,1,4,3,39,2,1,2,3,2,1,1,0,1,1
2,12,2,4,6078,2,3,2,1,1,2,4,32,1,1,1,1,1,2,1,1,1,1
1,24,2,3,7721,1,5,1,2,1,2,2,30,1,1,1,1,1,1,2,1,0,1
2,14,2,6,1410,3,1,1,4,1,2,1,35,1,1,1,1,1,1,1,1,1,1
2,6,3,6,1449,5,1,1,3,1,2,4,31,2,1,2,1,2,2,1,1,1,1
4,15,2,2,392,2,5,4,2,1,4,2,23,1,3,1,1,1,1,1,1,0,0
2,18,2,4,6260,2,3,3,1,1,3,1,28,1,3,1,2,1,2,1,1,1,1
3,36,1,4,7855,2,2,4,2,1,2,1,25,3,1,2,1,1,1,1,0,0,0
1,12,2,1,1680,3,1,3,4,1,1,1,35,1,1,1,1,1,2,1,1,1,1
3,48,1,1,3578,1,1,4,1,1,1,1,47,1,1,1,1,1,1,1,1,1,1
1,42,2,1,7174,1,3,4,2,1,3,4,30,1,1,1,3,1,1,1,0,0,1
1,10,1,3,2132,1,5,2,2,3,3,1,27,1,3,2,1,1,2,2,1,0,1
1,33,1,3,4281,3,2,1,2,1,4,4,23,1,1,2,1,1,2,1,0,0,0
2,12,1,4,2366,3,3,3,3,1,3,4,36,1,1,1,3,1,1,1,1,1,1
1,21,2,1,1835,2,2,3,2,1,2,1,25,1,1,2,1,1,1,1,0,0,0
3,24,1,5,3868,2,1,4,2,1,2,4,41,1,3,2,3,1,1,1,1,0,1
3,12,2,3,1768,2,2,3,1,1,2,1,24,1,3,1,2,1,2,1,1,1,0
4,10,1,4,781,2,1,4,1,1,4,3,63,1,2,2,1,1,1,1,1,1,1
2,18,2,3,1924,1,5,4,2,1,3,1,27,1,3,1,1,1,2,1,0,0,1
1,12,1,4,2121,2,2,4,1,1,2,2,30,1,1,2,1,1,2,1,1,1,1
1,12,2,1,701,2,2,4,4,1,2,1,40,1,1,1,2,1,2,1,1,1,1
2,12,2,8,639,2,2,4,1,1,2,4,30,1,1,1,1,1,2,1,0,1,1
2,12,1,5,1860,2,4,4,1,1,2,4,34,1,1,2,3,1,1,1,1,1,1
1,12,1,4,3499,2,2,3,2,3,2,1,29,1,1,2,1,1,2,1,0,0,1
2,48,2,4,8487,1,3,1,2,1,2,4,24,1,1,1,1,1,2,1,1,0,0
1,36,3,2,6887,2,2,4,1,1,3,2,29,3,1,1,1,1,1,1,0,1,1
3,15,2,3,2708,2,5,2,1,1,3,2,27,2,1,2,2,1,2,1,1,1,1
3,18,2,3,1984,2,2,4,1,1,4,3,47,2,2,2,1,1,2,1,1,1,1
3,60,2,1,10144,5,3,2,2,1,4,1,21,1,1,1,1,1,1,1,1,0,0
3,12,1,1,1240,1,1,4,2,1,2,1,38,1,1,2,1,1,1,1,1,0,1
3,27,3,5,8613,4,2,2,1,1,2,4,27,1,1,2,1,1,2,1,1,1,1
2,12,2,1,766,3,2,4,1,1,3,1,66,1,1,1,2,1,2,1,0,1,1
2,15,1,1,2728,1,3,4,1,2,2,1,35,2,1,3,1,1,1,1,1,1,1
4,12,2,1,1881,2,2,2,2,1,2,4,44,1,3,1,2,1,1,1,1,0,1
4,6,2,4,709,4,5,2,4,1,2,1,27,1,1,1,4,1,2,2,1,1,1
2,36,2,1,4795,2,5,4,2,1,1,3,30,1,1,1,3,1,1,1,1,0,1
1,27,2,1,3416,2,2,3,1,1,2,4,27,1,1,1,3,1,2,1,1,1,1
1,18,2,3,2462,2,2,2,1,1,2,4,22,1,1,1,1,1,2,1,0,1,0
3,21,1,3,2288,2,5,4,2,1,4,2,23,1,1,1,1,1,1,1,1,0,0
2,48,5,6,3566,5,3,4,1,1,2,4,30,1,1,1,1,1,2,1,1,1,1
1,6,1,4,860,2,1,1,2,1,4,3,39,1,1,2,1,1,1,1,1,0,1
3,12,1,4,682,5,3,4,2,1,3,4,51,1,1,2,1,1,1,1,1,0,1
1,36,1,3,5371,2,2,3,1,2,2,2,28,1,1,2,1,1,2,1,1,1,1
3,18,1,1,1582,4,1,4,1,1,4,4,46,1,1,2,1,1,2,1,1,1,1
3,6,2,1,1346,5,1,2,1,1,4,3,42,2,2,1,1,2,1,1,1,1,1
3,10,2,1,1924,2,2,1,1,1,4,2,38,1,1,1,1,1,1,2,1,1,1
4,36,2,1,5848,2,2,4,1,1,1,4,24,1,1,1,1,1,2,1,1,1,0
2,24,1,5,7758,4,1,2,2,1,4,3,29,1,3,1,1,1,2,1,1,0,1
2,24,3,6,6967,5,3,4,1,1,4,4,36,1,3,1,3,1,1,1,1,1,1
1,12,2,3,1282,2,2,2,2,1,4,4,20,1,3,1,1,1,2,1,0,0,0
1,9,1,8,1288,5,1,3,1,2,4,1,48,1,1,2,1,2,2,2,1,1,1
1,12,5,10,339,2,1,4,4,1,1,4,45,2,1,1,2,1,2,1,1,1,1
2,24,2,4,3512,5,3,2,1,1,3,4,38,2,1,2,1,1,1,1,1,1,1
3,6,1,1,1898,1,2,1,1,1,2,1,34,1,1,2,2,2,2,1,1,1,1
3,24,1,1,2872,5,1,3,1,1,4,1,36,1,1,1,1,2,1,1,1,1,1
3,18,1,4,1055,2,5,4,2,1,1,2,30,1,1,2,1,1,2,1,1,0,1
3,15,2,7,1262,3,3,4,1,1,3,2,36,1,1,2,1,1,1,1,1,1,1
2,10,2,4,7308,2,4,2,1,1,4,3,70,2,2,1,3,1,1,1,1,1,1
3,36,2,4,909,3,1,4,1,1,4,2,36,1,1,1,1,1,2,1,1,1,1
3,6,2,3,2978,3,2,1,1,1,2,4,32,1,1,1,1,1,1,1,1,1,1
1,18,2,3,1131,2,4,4,2,1,2,4,33,1,1,1,1,1,2,1,0,0,1
2,11,2,3,1577,4,5,4,2,1,1,1,20,1,1,1,1,1,2,1,1,0,0
3,24,2,3,3972,2,3,2,2,1,4,2,25,1,3,1,1,1,1,1,1,0,0
2,24,1,6,1935,2,1,4,3,1,4,1,31,1,1,2,1,1,1,1,0,1,1
1,15,4,4,950,2,1,4,1,1,3,4,33,1,3,2,1,2,2,1,0,1,1
3,12,2,3,763,2,2,4,2,1,1,1,26,1,1,1,1,1,1,1,1,0,1
2,24,3,3,2064,2,4,3,2,1,2,2,34,1,1,1,3,1,1,1,0,0,1
2,8,2,1,1414,2,2,4,1,2,2,1,33,1,1,1,1,1,2,2,1,1,1
1,21,3,2,3414,2,5,2,1,1,1,2,26,1,1,2,1,1,2,1,0,1,1
3,30,5,5,7485,1,4,4,2,1,1,1,53,2,1,1,3,1,1,1,0,0,1
1,12,2,3,2577,2,2,2,3,1,1,4,42,1,1,1,1,1,2,1,1,1,1
1,6,1,1,338,3,1,4,1,1,4,4,52,1,1,2,1,1,2,1,1,1,1
3,12,2,1,1963,2,3,4,1,1,2,4,31,1,3,2,3,2,1,1,1,1,1
1,21,1,4,571,2,1,4,1,1,4,1,65,1,1,2,1,1,2,1,1,1,1
3,36,3,6,9572,2,5,1,3,1,1,4,28,1,1,2,1,1,2,1,0,1,1
2,36,3,6,4455,2,2,2,3,1,2,1,30,3,1,2,3,1,1,1,0,1,1
1,21,5,4,1647,1,2,4,1,1,2,2,40,1,1,2,2,2,2,1,0,1,1
3,24,1,3,3777,4,2,4,1,1,4,1,50,1,1,1,1,1,1,1,1,1,1
2,18,1,4,884,2,1,4,1,1,4,4,36,2,1,1,1,2,1,1,0,1,1
3,15,1,1,1360,2,2,4,1,1,2,2,31,1,1,2,1,1,2,1,1,1,1
2,9,5,5,5129,2,1,2,2,1,4,3,74,2,2,1,3,2,1,1,0,0,1
2,16,1,4,1175,2,4,2,1,1,3,4,68,1,2,3,4,1,1,1,1,1,1
1,12,2,1,674,5,3,4,4,1,1,2,20,1,1,1,1,1,2,1,0,1,0
2,18,4,3,3244,2,2,1,2,1,4,4,33,2,1,2,1,1,1,1,1,0,1
3,24,2,6,4591,4,2,2,1,1,3,2,54,1,1,3,3,1,1,1,0,1,1
2,48,4,6,3844,5,3,4,1,1,4,3,34,1,2,1,2,2,2,1,0,1,1
2,27,2,6,3915,2,2,4,1,1,2,4,36,1,1,1,1,2,1,1,0,1,1
3,6,2,1,2108,2,3,2,4,1,2,1,29,1,3,1,1,1,2,1,1,1,1
2,45,2,1,3031,5,2,4,1,2,4,2,21,1,3,1,1,1,2,1,0,1,0
2,9,1,2,1501,2,1,2,2,1,3,4,34,1,1,2,3,1,1,1,0,0,1
3,6,1,1,1382,2,2,1,2,1,1,4,28,1,1,2,1,1,1,1,1,0,1
2,12,2,3,951,5,5,4,2,1,4,4,27,2,3,4,1,1,2,1,0,0,1
2,24,2,5,2760,1,1,4,1,1,4,3,36,2,2,1,1,1,1,1,1,1,1
2,18,3,3,4297,2,1,4,3,1,3,3,40,1,1,1,3,1,1,1,0,1,1
3,9,1,2,936,3,1,4,1,1,2,4,52,1,1,2,1,1,1,1,1,1,1
1,12,2,4,1168,2,2,4,4,1,3,1,27,1,1,1,2,1,2,1,1,1,1
3,27,3,6,5117,2,3,3,1,1,4,4,26,1,1,2,1,1,2,1,1,1,1
1,12,2,10,902,2,3,4,4,1,4,2,21,1,3,1,1,1,2,1,0,1,0
3,12,1,4,1495,2,1,4,1,1,1,1,38,1,1,2,2,2,2,1,1,1,1
1,30,1,5,10623,2,1,3,1,1,4,3,38,1,2,3,3,2,1,1,1,1,1
3,12,1,3,1935,2,1,4,1,1,4,1,43,1,1,3,1,1,1,1,1,1,1
2,12,1,7,1424,2,3,4,1,1,3,2,26,1,1,1,1,1,2,1,1,1,1
1,24,2,6,6568,2,2,2,4,1,2,4,21,3,1,1,2,1,2,1,1,1,0
3,12,2,5,1413,4,3,3,1,1,2,2,55,1,1,1,1,1,2,2,1,1,1
3,9,1,1,3074,1,2,1,1,1,2,1,33,1,1,2,1,2,2,1,1,1,1
3,36,2,1,3835,1,1,2,2,1,4,1,45,1,1,1,2,1,1,1,1,0,1
1,27,4,6,5293,2,4,2,1,1,4,2,50,3,1,2,1,1,1,1,0,1,1
4,30,3,6,1908,2,1,4,1,1,4,1,66,1,1,1,3,1,1,1,0,1,1
3,36,1,1,3342,1,1,4,1,1,2,4,51,1,1,1,1,1,1,1,1,1,1
2,6,1,10,932,1,3,1,2,1,3,2,39,1,1,2,2,1,2,1,1,0,1
1,18,4,6,3104,2,3,3,1,1,1,2,31,2,1,1,1,1,1,1,1,1,1
4,36,2,1,3913,2,2,2,1,1,2,1,23,1,1,1,1,1,1,1,1,1,0
1,24,2,3,3021,2,2,2,3,1,2,1,24,1,3,1,2,1,2,1,1,1,0
3,10,2,4,1364,2,2,2,2,1,4,4,64,1,1,1,1,1,1,1,1,0,1
2,12,2,1,625,2,5,4,4,2,1,1,26,2,1,1,2,1,2,1,1,1,1
1,12,2,2,1200,1,2,4,2,1,4,2,23,2,3,1,1,1,1,1,1,0,0
3,12,2,1,707,2,2,4,1,1,2,1,30,2,1,2,1,1,2,1,1,1,1
3,24,3,6,2978,1,2,4,1,1,4,1,32,1,1,2,1,2,1,1,1,1,1
3,15,2,5,4657,2,2,3,1,1,2,4,30,1,1,1,1,1,1,1,1,1,1
3,36,4,8,2613,2,2,4,1,1,2,4,27,1,1,2,1,1,2,1,1,1,1
2,48,2,1,10961,4,3,1,1,3,2,3,27,2,1,2,1,1,1,1,0,1,1
1,12,2,3,7865,2,1,4,1,1,4,3,53,1,2,1,3,1,1,1,0,1,1
3,9,2,1,1478,2,3,4,1,1,2,4,22,1,1,1,1,1,2,1,0,1,0
1,24,2,3,3149,2,5,4,1,1,1,3,22,2,2,1,1,1,2,1,1,1,0
4,36,2,1,4210,2,2,4,1,1,2,4,26,1,1,1,1,1,2,1,0,1,1
3,9,2,4,2507,3,1,2,1,1,4,3,51,1,2,1,2,1,2,1,1,1,1
3,12,2,1,2141,5,3,3,1,1,1,3,35,1,1,1,1,1,2,1,1,1,1
2,18,2,1,866,2,2,4,4,2,2,1,25,1,1,1,2,1,2,1,1,1,0
3,4,1,1,1544,2,3,2,1,1,1,1,42,1,1,3,2,2,2,1,1,1,1
1,24,2,1,1823,2,4,4,1,1,2,4,30,3,1,1,3,2,2,1,0,1,1
2,6,2,4,14555,1,4,1,1,1,2,2,23,1,1,1,4,1,1,1,0,1,0
2,21,2,6,2767,5,1,4,3,1,2,4,61,2,3,2,2,1,2,1,0,1,1
3,12,1,1,1291,2,2,4,2,1,2,2,35,1,1,2,1,1,2,1,1,0,1
1,30,2,1,2522,2,1,1,1,2,3,2,39,1,1,1,1,2,2,1,1,1,1
1,24,2,4,915,1,1,4,2,1,2,4,29,2,1,1,1,1,2,1,0,0,1
3,6,2,1,1595,2,3,3,1,1,2,2,51,1,1,1,1,2,2,1,1,1,1
1,48,4,5,4605,2,1,3,1,1,4,3,24,1,2,2,1,2,2,1,0,1,0
3,12,1,6,1185,2,2,3,2,1,2,1,27,1,1,2,1,1,2,1,1,0,1
3,12,5,10,3447,3,2,4,2,1,3,1,35,1,1,1,2,2,2,1,1,0,1
3,24,2,6,1258,2,3,4,1,1,1,1,25,1,1,1,1,1,1,1,1,1,0
3,12,1,1,717,2,1,4,1,1,4,1,52,1,1,3,1,1,2,1,1,1,1
3,6,4,4,1204,5,2,4,1,1,1,3,35,2,3,1,1,1,2,2,1,1,1
4,24,2,3,1925,2,2,2,1,1,2,1,26,1,1,1,1,1,2,1,1,1,1
3,18,2,1,433,2,4,3,2,3,4,1,22,1,3,1,1,1,2,1,0,0,0
1,6,1,4,666,4,3,3,2,1,4,1,39,1,1,2,2,1,1,1,1,0,1
4,12,2,3,2251,2,2,1,2,1,2,4,46,1,1,1,2,1,2,1,1,0,1
2,30,2,4,2150,2,2,4,2,2,2,3,24,2,1,1,1,1,2,1,0,0,0
3,24,3,3,4151,5,2,2,1,1,3,2,35,1,1,2,1,1,2,1,1,1,1
2,9,2,3,2030,1,3,2,1,1,1,4,24,1,1,1,1,1,1,1,1,1,0
2,60,3,1,7418,1,2,1,1,1,1,1,27,1,1,1,2,1,2,1,1,1,1
3,24,1,1,2684,2,2,4,1,1,2,1,35,1,1,2,2,1,2,1,1,1,1
1,12,5,1,2149,2,2,4,3,1,1,3,29,1,2,1,1,1,2,1,0,1,1
3,15,2,5,3812,5,5,1,2,1,4,4,23,1,1,1,1,1,1,1,1,0,0
3,11,1,1,1154,5,4,4,2,1,4,1,57,1,1,3,2,1,2,1,1,0,1
1,12,2,3,1657,2,2,2,1,1,2,1,27,1,1,1,1,1,2,1,1,1,1
1,24,2,1,1603,2,1,4,2,1,4,4,55,1,1,1,1,1,2,1,1,0,1
1,18,1,4,5302,2,1,2,1,1,4,3,36,1,2,3,3,1,1,1,1,1,1
3,12,1,2,2748,2,1,2,2,1,4,3,57,2,2,3,2,1,2,1,1,0,1
3,10,1,4,1231,2,1,3,1,1,4,1,32,1,1,2,2,2,2,2,1,1,1
2,15,2,1,802,2,1,4,1,1,3,4,37,1,1,1,1,2,2,1,0,1,1
3,36,1,6,6304,1,1,4,1,1,4,1,36,1,1,2,1,1,2,1,1,1,1
3,24,2,1,1533,2,5,4,2,1,3,4,38,3,1,1,1,1,1,1,1,0,1
1,14,2,4,8978,2,1,1,3,1,4,2,45,1,1,1,3,1,1,2,0,1,1
3,24,2,1,999,1,1,4,1,1,2,4,25,1,1,2,1,1,2,1,1,1,0
3,18,2,4,2662,1,3,4,1,1,3,2,32,1,1,1,1,1,2,2,1,1,1
3,12,1,3,1402,3,3,3,2,1,4,4,37,1,3,1,1,1,1,1,1,0,1
2,48,5,4,12169,1,4,4,1,3,4,3,36,1,2,1,3,1,1,1,1,1,1
2,48,2,1,3060,2,3,4,1,1,4,1,28,1,1,2,1,1,2,1,0,1,1
1,30,2,8,11998,2,5,1,3,1,1,3,34,1,1,1,2,1,1,1,0,1,1
3,9,2,1,2697,2,2,1,1,1,2,1,32,1,1,1,1,2,2,1,1,1,1
3,18,1,1,2404,2,2,2,2,1,2,4,26,1,1,2,1,1,2,1,1,0,1
1,12,2,3,1262,1,1,2,3,1,4,2,49,1,1,1,2,1,1,1,1,1,1
3,6,2,3,4611,2,5,1,2,1,4,2,32,1,1,1,1,1,2,1,0,0,1
3,24,2,1,1901,5,2,4,1,1,4,4,29,1,3,1,3,1,1,1,1,1,1
3,15,1,5,3368,4,1,3,1,1,4,3,23,1,3,2,1,1,1,1,1,1,0
3,12,2,3,1574,2,2,4,1,1,2,1,50,1,1,1,1,1,2,1,1,1,1
4,18,5,1,1445,1,3,4,1,1,4,4,49,2,1,1,2,1,2,1,1,1,1
3,15,1,3,1520,1,1,4,1,1,4,2,63,1,1,1,1,1,2,1,1,1,1
2,24,1,4,3878,5,5,4,3,1,2,4,37,1,1,1,1,1,1,1,1,1,1
1,47,2,4,10722,2,5,1,2,1,1,1,35,1,1,1,2,1,1,1,1,0,1
1,48,2,5,4788,2,3,4,1,1,3,2,26,1,1,1,1,2,2,1,1,1,1
2,48,3,9,7582,5,4,2,1,1,4,3,31,1,2,1,3,1,1,1,1,1,1
2,12,2,1,1092,2,2,4,2,2,4,1,49,1,1,2,1,1,1,1,1,0,1
1,24,3,1,1024,2,5,4,4,1,4,1,48,3,1,1,1,1,2,1,0,1,1
3,12,2,6,1076,2,2,2,4,1,2,1,26,1,1,1,1,1,1,2,1,1,1
2,36,2,5,9398,2,5,1,4,1,4,4,28,1,3,1,3,1,1,1,0,1,1
1,24,1,5,6419,2,1,2,2,1,4,3,44,1,2,2,3,2,1,1,1,0,1
4,42,1,5,4796,2,1,4,1,1,4,3,56,1,2,1,1,1,2,1,1,1,1
