age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
32,1,293936,4,4,1,2,1,1,0,0,40,1,0
48,5,149640,9,3,15,1,1,1,0,0,40,40,0
42,5,116632,16,3,11,1,1,1,0,0,45,40,1
29,5,105598,10,1,14,2,1,1,0,0,58,40,0
36,5,155537,9,3,4,1,1,1,0,0,40,40,0
28,5,183175,10,1,2,2,1,0,0,0,40,40,0
53,5,169846,9,3,2,6,1,0,0,0,40,40,1
49,6,191681,10,3,5,1,1,1,0,0,50,40,1
25,1,200681,10,5,1,4,1,1,0,0,40,40,0
19,5,101509,10,5,11,4,1,1,0,0,32,40,0
31,5,309974,13,6,13,4,0,0,0,0,40,40,0
29,7,162298,13,3,13,1,1,1,0,0,70,40,1
23,5,211678,10,5,8,2,1,1,0,0,40,40,0
79,5,124744,10,3,11,3,1,1,0,0,20,40,0
27,5,213921,9,5,9,4,1,1,0,0,40,27,0
40,5,32214,12,3,2,1,1,1,0,0,40,40,0
67,1,212759,6,3,1,1,1,1,0,0,2,40,0
18,5,309634,7,5,9,4,1,0,0,0,22,40,0
31,3,125927,4,3,6,1,1,1,0,0,40,40,0
18,5,446839,9,5,13,2,1,1,0,0,30,40,0
52,5,276515,13,3,9,1,1,1,0,0,40,6,0
46,5,51618,9,3,9,6,1,0,0,0,40,40,0
59,5,159937,9,3,13,1,1,1,0,0,48,40,0
44,5,343591,9,1,4,2,1,0,14344,0,40,40,1
53,5,346253,9,1,13,4,1,0,0,0,35,40,0
49,3,268234,9,3,12,1,1,1,0,0,40,40,1
33,5,202051,14,3,11,1,1,1,0,0,50,40,0
30,5,54334,5,5,13,2,1,1,0,0,40,40,0
43,2,410867,16,5,11,2,1,0,0,0,50,40,1
57,5,249977,11,3,11,1,1,1,0,0,40,40,0
37,5,286730,10,1,4,5,1,0,0,0,40,40,0
28,5,212563,10,1,8,5,0,0,0,0,25,40,0
30,5,117747,9,3,13,6,0,0,0,1573,35,1,0
34,3,226296,13,3,12,1,1,1,0,0,40,40,1
29,3,115585,10,5,7,2,1,1,0,0,50,40,0
48,7,191277,16,3,11,1,1,1,0,1902,60,40,1
37,5,202683,10,3,13,1,1,1,0,0,48,40,1
48,5,171095,12,1,5,5,1,0,0,0,40,10,0
32,2,249409,9,5,9,4,0,1,0,0,40,40,0
76,5,124191,14,3,5,1,1,1,0,0,40,40,1
44,5,198282,13,3,5,1,1,1,15024,0,60,40,1
47,7,149116,14,5,11,2,1,0,0,0,50,40,0
20,5,188300,10,5,14,4,1,0,0,0,40,40,0
29,5,103432,9,5,4,2,1,1,0,0,40,40,0
32,6,317660,9,3,4,1,1,1,7688,0,40,40,1
17,1,304873,6,5,1,4,1,0,34095,0,32,40,0
30,5,194901,7,5,7,4,1,1,0,0,40,40,0
31,3,189265,9,5,2,2,1,0,0,0,40,40,0
42,5,124692,9,3,7,1,1,1,0,0,40,40,0
24,5,432376,13,5,13,3,1,1,0,0,40,40,0
38,5,65324,15,3,11,1,1,1,0,0,40,40,1
56,7,335605,9,3,9,1,1,1,0,1887,50,3,1
28,5,377869,10,3,13,6,1,0,4064,0,25,40,0
36,5,102864,9,5,8,4,1,0,0,0,40,40,0
53,5,95647,5,3,7,1,1,1,0,0,50,40,0
56,6,303090,10,3,13,1,1,1,0,0,50,40,0
49,3,197371,11,3,4,1,0,1,0,0,40,40,1
55,5,247552,10,3,13,1,1,1,0,0,56,40,0
22,5,102632,9,5,4,2,1,1,0,0,41,40,0
21,5,199915,10,5,9,4,1,0,0,0,40,40,0
40,5,118853,13,3,5,1,1,1,0,0,60,40,0
30,5,77143,13,5,5,4,0,1,0,0,40,12,0
29,8,267989,13,3,11,1,1,1,0,0,50,40,1
19,5,301606,10,5,9,4,0,1,0,0,35,40,0
47,5,287828,13,3,5,6,1,0,0,0,40,40,1
20,5,111697,10,5,2,4,1,0,0,1719,28,40,0
31,5,114937,12,3,2,1,1,1,0,0,40,40,1
35,1,129305,9,3,1,1,1,1,0,0,40,40,0
39,5,365739,10,1,4,2,1,1,0,0,40,40,0
28,5,69621,12,5,13,2,1,0,0,0,60,40,0
24,5,43323,9,5,9,2,1,0,0,1762,40,40,0
38,7,120985,9,3,4,1,1,1,4386,0,35,40,0
37,5,254202,13,3,13,1,1,1,0,0,50,40,0
46,5,146195,12,1,14,2,0,0,0,0,36,40,0
38,2,125933,14,3,11,1,1,1,0,0,40,21,1
43,7,56920,9,3,4,1,1,1,0,0,60,40,0
27,5,163127,11,3,2,6,1,0,0,0,35,40,0
20,5,34310,10,5,13,4,1,1,0,0,20,40,0
49,5,81973,10,3,4,1,0,1,0,0,40,40,1
61,6,66614,9,3,4,1,1,1,0,0,40,40,0
27,5,232782,10,5,13,4,1,0,0,0,40,40,0
19,5,316868,10,5,9,4,1,1,0,0,30,27,0
45,5,196584,11,5,11,2,1,0,0,1564,40,40,1
70,5,105376,10,5,14,3,1,1,0,0,40,40,0
31,5,185814,9,5,15,5,0,0,0,0,30,40,0
22,5,175374,10,3,9,1,1,1,0,0,24,40,0
36,5,108293,9,7,9,5,1,0,0,0,24,40,0
64,5,181232,7,3,4,1,1,1,0,2179,40,40,0
43,1,174662,10,1,1,2,1,0,0,0,40,40,0
47,3,186009,10,1,2,5,1,0,0,0,38,27,0
34,5,198183,9,5,2,2,1,0,0,0,40,40,0
33,5,163003,13,5,5,3,0,0,0,0,40,31,0
21,5,296158,9,5,4,4,1,1,0,0,35,40,0
52,1,252903,9,1,1,2,1,1,0,0,45,40,1
48,5,187715,9,3,4,1,1,1,0,0,46,40,0
23,5,214542,13,5,7,2,1,1,0,0,40,40,0
71,7,494223,10,6,13,5,0,1,0,1816,2,40,0
29,5,191535,9,1,4,2,1,1,0,0,60,40,0
42,5,228456,13,6,9,3,0,1,0,0,50,40,0
68,1,38317,2,1,1,2,1,0,0,0,20,40,0
25,5,252752,9,5,9,5,1,0,0,0,40,40,0
44,6,78374,14,1,5,5,0,0,0,0,40,40,0
28,5,88419,9,5,5,2,0,0,0,0,40,10,0
45,7,201080,14,3,13,1,1,1,0,0,40,40,1
36,5,207157,10,1,9,5,1,0,0,0,40,27,0
39,2,235485,12,5,5,2,1,1,0,0,42,40,0
46,8,102628,14,7,12,5,1,1,0,0,40,40,0
18,5,25828,7,5,7,4,1,1,0,0,16,40,0
66,3,54826,11,7,11,2,1,0,0,0,20,40,0
27,5,124953,9,5,9,2,1,1,0,1980,40,40,0
28,8,175325,9,3,12,1,1,1,0,0,40,40,0
51,5,96062,10,3,13,1,1,1,0,1977,40,40,1
27,5,428030,13,5,4,2,1,1,0,0,50,40,0
28,8,149624,13,3,11,1,1,1,0,0,40,40,1
27,5,253814,9,4,13,5,1,0,0,0,25,40,0
21,5,312956,9,5,4,4,0,1,0,0,40,40,0
34,5,483777,9,5,7,2,0,1,0,0,40,40,0
18,5,183930,9,5,9,4,1,1,0,0,12,40,0
33,5,37274,13,3,11,1,1,1,0,0,65,40,0
44,3,181344,10,3,5,1,0,1,0,0,38,40,1
43,5,114580,10,1,2,2,1,0,0,0,40,40,0
30,5,633742,10,5,4,2,0,1,0,0,45,40,0
40,5,286370,4,3,8,1,1,1,0,0,40,27,1
37,2,29054,10,3,2,1,1,1,0,0,42,40,1
34,5,304030,9,3,2,1,0,1,0,0,40,40,0
41,7,143129,13,1,5,2,1,0,0,0,40,40,0
53,1,135105,13,1,1,2,1,0,0,0,50,40,0
31,5,99928,14,3,11,6,1,0,0,0,50,40,0
58,8,109567,16,3,11,1,1,1,0,0,1,40,1
38,5,155222,10,1,8,2,0,0,0,0,28,40,0
24,5,159567,10,3,8,1,1,1,0,0,40,40,0
41,3,523910,13,3,4,1,0,1,0,0,40,40,0
47,5,120939,10,3,14,1,1,1,0,0,45,40,0
41,2,130760,13,3,14,1,1,1,0,0,24,40,0
23,5,197387,3,3,15,3,1,1,0,0,40,27,0
36,5,99374,10,1,4,2,1,1,0,0,40,40,0
40,2,56795,14,5,5,2,1,0,14084,0,55,40,1
35,5,138992,14,3,11,3,1,1,7298,0,40,40,1
24,7,32921,9,5,13,2,1,1,0,0,40,40,0
26,5,397317,14,5,11,2,1,0,0,1876,40,40,0
19,1,170653,9,5,1,4,1,1,0,0,40,23,0
51,5,259323,13,3,5,1,1,1,0,0,50,40,1
42,3,254817,10,5,11,2,1,0,0,1340,40,40,0
37,8,48211,9,1,2,5,1,0,0,0,35,40,0
18,5,140164,7,5,13,4,1,0,0,0,40,40,0
36,5,128757,13,3,9,1,0,1,7298,0,36,40,1
35,5,36270,9,1,4,2,1,1,0,0,60,40,0
58,6,210563,9,3,13,6,1,0,15024,0,35,40,1
17,5,65368,7,5,13,4,1,0,0,0,12,40,0
44,3,160943,9,3,15,1,0,1,0,0,40,40,0
37,5,208358,9,3,4,1,1,1,0,0,40,40,1
35,5,153790,10,5,13,2,0,0,0,0,40,40,0
60,5,85815,9,3,4,1,0,1,0,0,40,40,0
54,6,125417,4,3,8,1,1,1,0,0,40,40,1
37,5,635913,13,5,5,2,0,1,0,0,60,40,1
50,5,313321,12,1,13,2,1,0,0,0,40,40,0
38,5,182609,13,3,13,1,1,1,0,0,50,32,0
45,5,109434,13,3,11,1,1,1,0,0,55,40,0
25,5,255004,6,5,4,2,1,1,0,0,40,40,0
31,5,197860,10,3,7,1,1,1,0,0,40,40,0
64,1,187656,2,1,1,2,1,1,0,0,40,40,0
90,5,51744,9,5,9,2,0,1,0,2206,40,40,0
54,5,176681,9,3,2,1,0,1,0,0,20,40,0
53,3,140359,1,5,8,2,1,0,0,0,35,40,0
18,5,243313,9,5,13,4,1,0,0,0,40,40,0
60,1,24215,6,1,1,2,0,0,0,0,10,40,0
66,7,167687,9,3,6,1,1,1,1409,0,50,40,0
75,5,314209,11,7,2,2,1,0,0,0,20,5,0
65,5,176796,9,1,2,2,1,0,0,0,40,40,0
35,5,538583,7,6,15,2,0,1,3674,0,40,40,0
41,5,130408,9,1,13,5,0,0,0,0,38,40,0
25,5,159732,10,5,2,2,1,1,0,0,42,40,0
33,5,110978,10,1,4,3,0,0,0,0,40,40,0
28,5,76714,15,5,11,2,1,1,0,0,55,40,1
59,8,268700,9,3,9,1,1,1,0,0,40,40,0
40,8,170525,10,5,2,2,1,0,0,0,38,40,0
41,5,180138,13,3,5,1,1,1,0,0,50,21,1
38,3,115076,14,3,5,1,1,1,0,0,70,40,1
23,5,115458,9,5,15,4,1,1,0,0,40,40,0
40,5,347890,13,3,11,1,1,1,0,0,40,40,1
41,7,196001,9,3,9,6,1,0,0,0,20,40,0
24,8,273905,12,3,12,1,1,1,0,0,50,40,0
20,1,119156,10,5,1,4,1,1,0,0,20,40,0
38,5,179488,10,1,4,2,1,1,0,1741,40,40,0
56,5,203580,9,3,2,1,1,1,0,0,35,1,0
58,5,236596,9,3,2,1,1,1,0,0,45,40,1
32,5,183916,9,5,9,2,1,0,0,0,34,40,0
40,5,207578,12,3,14,1,1,1,0,1977,60,40,1
45,5,153141,9,3,2,1,1,1,0,0,40,1,0
41,5,112763,15,3,11,6,1,0,0,0,40,40,1
42,5,390781,13,3,2,6,0,0,0,0,40,40,0
59,3,171328,6,7,9,5,0,0,0,0,30,40,0
19,3,27382,10,5,2,4,1,1,0,0,40,40,0
58,5,259014,10,5,15,2,1,1,0,0,20,40,0
42,7,303044,9,3,6,1,0,1,0,0,40,2,1
20,5,117789,9,5,9,4,1,0,0,0,40,40,0
32,5,172579,9,6,9,2,1,0,0,0,30,40,0
45,5,187666,11,7,5,2,1,0,0,0,45,40,0
50,5,204518,4,1,4,2,1,1,0,0,40,40,0
36,5,150042,13,1,11,4,1,0,0,0,40,40,0
45,5,98092,9,3,13,1,1,1,0,0,60,40,0
17,5,245918,7,5,9,4,1,1,0,0,12,40,0
59,5,146013,10,3,13,1,1,1,4064,0,40,40,0
26,5,378322,7,3,4,1,1,1,0,0,40,40,0
37,6,257295,10,3,5,1,0,1,0,0,75,38,1
19,1,218956,10,5,1,4,1,1,0,0,24,3,0
64,5,21174,9,3,5,1,1,1,0,0,40,40,1
33,5,185480,13,5,11,2,1,0,0,0,45,40,0
33,5,222205,9,3,4,6,1,0,0,0,40,40,1
61,5,69867,9,3,5,1,1,1,0,0,40,40,1
17,5,191260,5,5,9,4,1,1,1055,0,24,40,0
50,7,30653,14,3,6,1,1,1,2407,0,98,40,0
27,3,209109,14,5,11,4,1,1,0,0,35,40,0
30,5,70377,9,1,11,4,1,0,0,0,40,40,0
43,5,477983,9,3,7,1,0,1,0,0,40,40,0
44,5,170924,10,3,4,1,1,1,7298,0,40,40,1
35,5,190174,10,5,5,2,1,0,0,0,40,40,0
25,5,193787,10,5,14,4,1,0,0,0,40,40,0
24,5,279472,10,3,8,6,1,0,7298,0,48,40,1
22,5,34918,13,5,11,2,1,0,0,0,15,12,0
42,3,97688,10,3,4,1,1,1,5178,0,40,40,1
34,5,175413,12,1,13,5,0,0,0,0,45,40,0
60,5,173960,13,1,11,2,1,0,0,0,42,40,0
21,5,205759,9,5,7,4,1,1,0,0,40,40,0
57,2,425161,14,3,13,1,1,1,15024,0,40,40,1
41,5,220531,15,3,11,1,1,1,0,0,60,40,1
50,5,176609,10,1,9,2,1,1,0,0,45,40,0
25,5,371987,13,5,5,2,1,0,0,0,40,40,0
50,5,193884,4,3,4,1,1,1,0,0,40,8,0
36,5,200352,13,3,11,1,1,1,0,0,45,40,0
31,5,127595,9,1,11,2,1,0,0,0,40,40,0
29,3,220419,13,5,12,2,1,1,0,0,56,40,0
21,5,231931,10,5,13,4,1,1,0,0,45,40,0
27,5,248402,13,5,14,5,0,0,0,0,40,40,0
65,5,111095,9,3,15,1,1,1,0,0,16,40,0
37,6,57424,13,1,13,2,1,0,0,0,60,40,0
39,1,157443,14,3,1,6,0,0,3464,0,40,1,0
24,5,278130,9,5,4,4,1,1,0,0,40,40,0
38,5,169469,9,1,13,2,1,1,0,0,80,40,0
48,5,146268,13,3,2,1,1,1,7688,0,40,40,1
21,5,153718,10,5,9,2,0,0,0,0,25,40,0
31,5,217460,9,3,15,1,1,1,0,0,45,40,1
55,5,238638,9,3,13,1,1,1,4386,0,40,40,1
24,5,303296,10,3,2,6,0,0,0,0,40,26,0
43,5,173321,9,1,2,2,1,0,0,0,40,40,0
26,5,193945,12,5,14,2,1,1,0,0,45,40,0
46,5,83082,12,5,11,2,1,0,0,0,33,40,0
35,5,193815,12,3,2,1,1,1,0,0,40,40,1
41,6,34987,10,3,6,1,1,1,0,0,54,40,1
26,5,59306,13,5,13,2,1,1,0,0,40,40,0
34,5,142897,14,3,5,1,0,1,7298,0,35,37,1
19,1,860348,10,5,1,4,0,0,0,0,25,40,0
36,7,205607,13,1,11,2,0,0,0,0,40,40,1
22,5,199698,10,5,13,4,1,1,0,0,15,40,0
24,5,191954,10,5,8,2,1,1,0,0,40,40,0
77,7,138714,10,3,13,1,1,1,0,0,40,40,0
22,5,399087,3,3,8,3,1,0,0,0,40,27,0
29,5,423158,10,5,14,2,1,0,0,0,40,40,0
62,5,159841,9,7,9,2,1,0,0,0,24,40,0
39,7,174308,9,3,5,1,1,1,0,0,40,40,0
43,5,50356,10,3,4,1,1,1,0,1485,50,40,0
35,5,186110,9,1,15,2,1,1,0,0,45,40,0
29,5,200381,7,5,5,2,1,0,0,0,40,40,0
76,7,174309,14,3,4,1,1,1,0,0,10,40,0
63,7,78383,9,3,6,1,1,1,0,0,45,40,0
23,1,211601,11,5,1,4,0,0,0,0,15,40,0
43,5,187728,10,3,11,6,1,0,0,1887,50,40,1
58,7,321171,9,3,7,1,1,1,0,0,40,40,0
66,5,127921,9,5,15,2,1,1,2050,0,55,40,0
41,5,206565,10,5,4,2,0,1,0,0,45,40,0
26,5,224563,13,5,2,2,1,1,0,0,40,40,0
47,5,178686,11,5,9,2,1,1,0,0,40,40,0
55,3,98545,6,3,2,1,1,1,0,0,40,40,0
53,5,242606,9,3,15,1,1,1,0,0,40,40,0
17,5,270942,3,5,9,3,1,1,0,0,48,27,0
30,5,94235,9,5,4,3,1,1,0,0,40,40,0
49,5,71195,14,5,11,2,1,1,0,0,60,40,0
19,5,104112,9,5,13,5,0,1,0,0,30,15,0
45,5,261192,9,3,9,1,0,1,0,0,40,40,0
26,5,94936,12,5,13,2,1,1,0,0,40,40,0
38,5,296478,11,3,4,1,1,1,7298,0,40,40,1
36,8,119272,9,3,12,1,1,1,7298,0,40,40,1
33,5,85043,9,5,6,2,1,1,0,0,20,40,0
22,8,293364,10,5,12,4,0,0,0,0,40,40,0
43,7,241895,13,5,13,2,1,1,0,0,42,40,0
67,1,36135,7,3,1,1,1,1,0,0,8,40,0
30,1,151989,11,1,1,5,1,0,0,0,40,40,0
56,5,101128,12,4,9,2,1,1,0,0,25,21,0
31,5,156464,13,5,11,4,1,1,0,0,25,40,0
33,5,117963,13,3,5,1,1,1,0,0,40,40,1
26,5,192262,9,3,9,1,1,1,0,0,40,40,0
33,5,111363,13,3,5,1,1,1,0,0,40,40,1
46,3,329752,7,3,15,1,1,1,0,0,30,40,0
59,1,372020,13,3,1,1,1,1,0,0,40,40,1
38,2,95432,9,3,2,1,1,1,0,0,40,40,1
65,5,161400,7,7,9,5,0,1,0,0,40,40,0
40,5,96129,11,3,14,1,1,1,0,0,40,40,1
42,5,111949,9,3,2,6,1,0,0,0,35,40,0
26,7,117125,5,3,4,1,1,1,0,0,40,33,0
36,5,348022,6,3,9,6,1,0,0,0,24,40,0
62,5,270092,14,3,11,1,1,1,0,0,40,40,1
43,5,180609,13,3,15,1,1,1,0,0,45,40,0
43,5,174575,13,1,5,2,1,1,0,1564,45,40,1
22,5,410439,9,4,13,2,1,1,0,0,55,40,0
28,5,92262,9,3,4,1,1,1,0,0,40,40,0
56,7,183081,10,3,13,1,1,1,0,0,45,40,0
22,5,362589,12,5,13,2,1,0,0,0,15,40,0
57,5,212448,13,1,5,2,1,0,0,0,45,40,1
39,5,481060,9,1,13,5,1,0,0,0,40,40,0
26,2,185885,10,5,2,5,1,0,0,0,15,40,0
17,5,89821,7,5,9,4,1,1,0,0,10,40,0
40,8,184018,11,3,8,1,1,1,0,0,38,40,1
45,5,256649,9,3,8,1,0,1,0,0,40,40,0
44,5,160323,9,5,4,2,0,1,0,0,40,40,0
20,3,350845,10,5,2,4,1,0,0,0,10,40,0
33,5,267404,9,3,4,6,1,0,0,0,40,40,0
23,5,35633,10,5,13,2,1,1,0,0,40,40,0
46,7,80914,14,1,5,2,1,1,0,0,30,40,0
38,5,172927,9,3,13,1,1,1,0,0,50,40,0
54,5,174319,9,1,15,2,1,1,0,0,40,40,0
46,5,214955,3,1,4,2,1,0,0,2339,45,40,0
25,5,344991,10,3,4,1,1,1,0,0,40,40,0
46,5,108699,10,1,13,2,1,0,0,0,40,40,0
36,3,117312,10,3,15,6,1,0,0,0,40,40,0
23,5,396099,9,5,9,2,1,0,0,0,25,40,0
29,5,134152,9,6,8,2,1,1,0,0,40,40,0
44,5,162028,10,3,2,6,1,0,0,2415,6,40,1
19,5,25429,10,5,2,4,1,0,0,0,16,40,0
19,5,232392,9,5,9,3,1,0,0,0,40,40,0
35,5,220098,9,3,9,6,1,0,0,0,40,40,1
27,5,301302,13,5,4,2,1,1,0,0,50,40,0
46,7,277946,12,6,4,2,1,1,0,0,40,40,0
34,8,98101,13,3,5,1,1,1,7688,0,45,1,1
34,5,196164,9,5,9,2,1,0,0,0,35,40,0
44,5,115562,10,3,14,1,1,1,0,0,40,40,0
45,5,96975,10,1,7,5,1,0,0,0,40,40,0
20,1,137300,9,5,1,3,1,0,0,0,35,40,0
25,5,86872,13,3,5,1,1,1,0,0,55,40,1
52,6,132178,13,3,5,1,1,1,0,0,50,40,1
20,5,416103,10,5,7,4,1,1,0,0,40,40,0
28,5,108574,10,5,9,2,1,0,0,0,40,40,0
50,8,288353,13,3,12,1,1,1,0,0,40,40,1
34,5,227689,11,1,14,2,1,0,0,0,64,40,0
28,5,166481,4,3,7,1,0,1,0,2179,40,34,0
41,5,445382,14,3,5,1,1,1,0,1977,65,40,1
28,5,110145,9,3,2,1,1,1,0,0,40,40,0
46,7,317253,9,3,4,1,1,1,0,0,25,40,0
28,1,123147,10,3,1,6,1,0,0,1887,40,40,1
32,5,364657,10,3,5,1,1,1,0,0,50,40,0
41,3,42346,10,1,9,2,0,0,0,0,24,40,0
24,5,241951,9,5,7,5,0,0,0,0,40,40,0
33,5,118500,10,1,5,5,1,0,0,0,40,40,0
46,5,188386,16,3,5,1,1,1,15024,0,60,40,1
31,8,1033222,10,3,8,1,1,1,0,0,40,40,0
35,5,92440,8,1,4,2,1,1,0,0,50,40,1
52,5,190762,2,3,8,1,1,1,0,0,40,27,0
30,5,426017,7,5,9,4,1,0,0,0,19,40,0
34,3,243867,7,6,8,2,0,1,0,0,40,40,0
34,8,240283,9,1,15,5,1,0,0,0,40,40,0
20,5,61777,10,3,13,1,1,1,0,0,30,40,0
17,5,175024,7,5,7,4,1,1,2176,0,18,40,0
32,8,92003,13,3,5,6,1,0,0,0,40,40,1
29,5,188401,9,1,6,2,1,1,0,0,40,40,0
33,5,228528,6,5,4,5,1,0,0,0,35,40,0
25,5,133373,9,3,15,1,1,1,0,0,60,40,0
36,2,255191,14,5,11,2,1,1,0,1408,40,40,0
23,5,204653,9,5,7,2,1,1,0,0,72,7,0
63,6,222289,9,3,5,1,1,1,0,0,40,40,1
47,3,287480,14,3,11,1,1,1,0,0,40,40,0
80,1,107762,9,7,1,2,1,1,0,0,24,40,0
17,1,202521,7,5,1,4,1,1,0,0,40,40,0
40,7,204116,13,4,11,2,1,0,2174,0,40,40,0
30,5,29662,12,3,9,6,1,0,0,0,25,40,1
27,5,116358,10,5,4,4,0,1,0,1980,40,31,0
33,5,208405,14,3,11,1,1,1,0,0,50,40,1
34,3,284843,9,5,6,2,0,1,594,0,60,40,0
34,3,117018,10,5,12,2,1,0,0,0,40,40,0
23,5,81281,10,3,2,1,1,1,0,0,40,40,0
42,3,340148,10,3,2,6,1,0,0,0,40,40,0
29,5,363425,13,5,11,2,1,1,0,0,40,40,0
45,5,45857,9,1,2,2,1,0,0,0,28,40,0
24,2,191073,9,5,3,4,1,1,0,0,40,40,0
44,5,116632,10,3,11,1,1,1,0,0,40,40,1
27,5,405855,5,5,4,3,1,1,0,0,40,27,0
20,5,298227,10,5,13,2,1,1,0,0,35,40,0
44,5,290521,9,7,5,5,0,0,0,0,40,40,0
51,5,56915,9,3,4,1,0,1,0,0,40,40,0
20,5,146538,9,3,8,1,1,1,0,0,40,40,0
17,1,258872,7,5,1,4,1,0,0,0,5,40,0
19,5,206399,9,5,8,4,0,0,0,0,40,40,0
45,6,197332,10,3,4,1,1,1,0,0,55,40,1
60,5,245062,9,3,4,1,1,1,0,0,40,40,1
42,5,197583,12,3,5,1,0,1,0,0,40,1,1
44,7,234885,9,3,13,6,1,0,0,0,40,40,1
40,5,72887,11,3,8,1,0,1,0,0,40,40,1
30,5,180374,9,3,5,6,1,0,0,0,40,40,0
38,5,351299,10,3,15,1,0,1,0,0,50,40,0
23,5,54012,9,3,15,1,1,1,0,0,60,40,0
32,1,115745,10,3,1,1,1,1,0,0,40,40,0
44,5,116632,12,5,6,4,1,1,0,0,40,40,0
54,3,288825,9,3,15,1,0,1,0,0,40,40,0
32,5,132601,13,3,11,1,1,1,0,0,50,40,0
50,5,193374,2,4,4,5,1,1,0,0,40,40,0
24,5,170070,13,5,14,2,1,0,0,0,20,40,0
37,5,126708,9,3,2,6,1,0,0,0,60,40,0
52,5,35598,9,1,15,5,1,1,0,0,40,40,0
38,5,33983,10,3,15,1,1,1,0,0,40,40,0
49,5,192776,14,3,5,1,1,1,0,1977,45,40,1
30,5,118551,13,3,14,6,1,0,0,0,16,40,1
60,5,201965,10,5,11,5,1,1,0,0,40,40,1
22,1,139883,10,5,1,4,1,1,0,0,40,40,0
35,5,285020,9,5,4,2,1,1,0,0,40,40,0
30,5,303990,9,5,15,2,1,1,0,0,60,40,0
67,5,49401,11,1,9,2,1,0,0,0,24,40,0
46,5,279196,13,5,4,2,1,0,0,0,40,40,0
