age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income-per-year
34,3,198183,9,1,1,1,1,0,0,0,40,1,0
33,3,163003,13,1,2,6,0,0,0,0,40,14,0
21,3,296158,9,1,7,4,1,1,0,0,35,1,0
52,6,252903,9,3,12,1,1,1,0,0,45,1,1
48,3,187715,9,2,7,2,1,1,0,0,46,1,0
23,3,214542,13,1,3,1,1,1,0,0,40,1,0
71,2,494223,10,5,6,5,0,1,0,1816,2,1,0
29,3,191535,9,3,7,1,1,1,0,0,60,1,0
42,3,228456,13,5,5,6,0,1,0,0,50,1,0
68,6,38317,2,3,12,1,1,0,0,0,20,1,0
25,3,252752,9,1,5,5,1,0,0,0,40,1,0
44,7,78374,14,3,2,5,0,0,0,0,40,1,0
28,3,88419,9,1,2,1,0,0,0,0,40,10,0
45,2,201080,14,2,6,2,1,1,0,0,40,1,1
36,3,207157,10,3,5,5,1,0,0,0,40,6,0
39,4,235485,12,1,2,1,1,1,0,0,42,1,0
46,1,102628,14,7,13,5,1,1,0,0,40,1,0
18,3,25828,7,1,3,4,1,1,0,0,16,1,0
66,5,54826,11,7,4,1,1,0,0,0,20,1,0
27,3,124953,9,1,5,1,1,1,0,1980,40,1,0
28,1,175325,9,2,13,2,1,1,0,0,40,1,0
51,3,96062,10,2,6,2,1,1,0,1977,40,1,1
27,3,428030,13,1,7,1,1,1,0,0,50,1,0
28,1,149624,13,2,4,2,1,1,0,0,40,1,1
27,3,253814,9,4,6,5,1,0,0,0,25,1,0
21,3,312956,9,1,7,4,0,1,0,0,40,1,0
34,3,483777,9,1,3,1,0,1,0,0,40,1,0
18,3,183930,9,1,5,4,1,1,0,0,12,1,0
33,3,37274,13,2,4,2,1,1,0,0,65,1,0
44,5,181344,10,2,2,2,0,1,0,0,38,1,1
43,3,114580,10,3,1,1,1,0,0,0,40,1,0
30,3,633742,10,1,7,1,0,1,0,0,45,1,0
40,3,286370,4,2,10,2,1,1,0,0,40,6,1
37,4,29054,10,2,1,2,1,1,0,0,42,1,1
34,3,304030,9,2,1,2,0,1,0,0,40,1,0
41,2,143129,13,3,2,1,1,0,0,0,40,1,0
53,6,135105,13,3,12,1,1,0,0,0,50,1,0
31,3,99928,14,2,4,3,1,0,0,0,50,1,0
58,1,109567,16,2,4,2,1,1,0,0,1,1,1
38,3,155222,10,3,10,1,0,0,0,0,28,1,0
24,3,159567,10,2,10,2,1,1,0,0,40,1,0
41,5,523910,13,2,7,2,0,1,0,0,40,1,0
47,3,120939,10,2,11,2,1,1,0,0,45,1,0
41,4,130760,13,2,11,2,1,1,0,0,24,1,0
23,3,197387,3,2,8,6,1,1,0,0,40,6,0
36,3,99374,10,3,7,1,1,1,0,0,40,1,0
40,4,56795,14,1,2,1,1,0,14084,0,55,1,1
35,3,138992,14,2,4,6,1,1,7298,0,40,1,1
24,2,32921,9,1,6,1,1,1,0,0,40,1,0
26,3,397317,14,1,4,1,1,0,0,1876,40,1,0
19,6,170653,9,1,12,4,1,1,0,0,40,15,0
51,3,259323,13,2,2,2,1,1,0,0,50,1,1
42,5,254817,10,1,4,1,1,0,0,1340,40,1,0
37,1,48211,9,3,1,5,1,0,0,0,35,1,0
18,3,140164,7,1,6,4,1,0,0,0,40,1,0
36,3,128757,13,2,5,2,0,1,7298,0,36,1,1
35,3,36270,9,3,7,1,1,1,0,0,60,1,0
58,7,210563,9,2,6,3,1,0,15024,0,35,1,1
17,3,65368,7,1,6,4,1,0,0,0,12,1,0
44,5,160943,9,2,8,2,0,1,0,0,40,1,0
37,3,208358,9,2,7,2,1,1,0,0,40,1,1
35,3,153790,10,1,6,1,0,0,0,0,40,1,0
60,3,85815,9,2,7,2,0,1,0,0,40,1,0
54,7,125417,4,2,10,2,1,1,0,0,40,1,1
37,3,635913,13,1,2,1,0,1,0,0,60,1,1
50,3,313321,12,3,6,1,1,0,0,0,40,1,0
38,3,182609,13,2,6,2,1,1,0,0,50,16,0
45,3,109434,13,2,4,2,1,1,0,0,55,1,0
25,3,255004,6,1,7,1,1,1,0,0,40,1,0
31,3,197860,10,2,3,2,1,1,0,0,40,1,0
64,6,187656,2,3,12,1,1,1,0,0,40,1,0
90,3,51744,9,1,5,1,0,1,0,2206,40,1,0
54,3,176681,9,2,1,2,0,1,0,0,20,1,0
53,5,140359,1,1,10,1,1,0,0,0,35,1,0
18,3,243313,9,1,6,4,1,0,0,0,40,1,0
60,6,24215,6,3,12,1,0,0,0,0,10,1,0
66,2,167687,9,2,9,2,1,1,1409,0,50,1,0
75,3,314209,11,7,1,1,1,0,0,0,20,17,0
65,3,176796,9,3,1,1,1,0,0,0,40,1,0
35,3,538583,7,5,8,1,0,1,3674,0,40,1,0
41,3,130408,9,3,6,5,0,0,0,0,38,1,0
25,3,159732,10,1,1,1,1,1,0,0,42,1,0
33,3,110978,10,3,7,6,0,0,0,0,40,1,0
28,3,76714,15,1,4,1,1,1,0,0,55,1,1
59,1,268700,9,2,5,2,1,1,0,0,40,1,0
40,1,170525,10,1,1,1,1,0,0,0,38,1,0
41,3,180138,13,2,2,2,1,1,0,0,50,13,1
38,5,115076,14,2,2,2,1,1,0,0,70,1,1
23,3,115458,9,1,8,4,1,1,0,0,40,1,0
40,3,347890,13,2,4,2,1,1,0,0,40,1,1
41,2,196001,9,2,5,3,1,0,0,0,20,1,0
24,1,273905,12,2,13,2,1,1,0,0,50,1,0
20,6,119156,10,1,12,4,1,1,0,0,20,1,0
38,3,179488,10,3,7,1,1,1,0,1741,40,1,0
56,3,203580,9,2,1,2,1,1,0,0,35,5,0
58,3,236596,9,2,1,2,1,1,0,0,45,1,1
32,3,183916,9,1,5,1,1,0,0,0,34,1,0
40,3,207578,12,2,11,2,1,1,0,1977,60,1,1
45,3,153141,9,2,1,2,1,1,0,0,40,5,0
41,3,112763,15,2,4,3,1,0,0,0,40,1,1
42,3,390781,13,2,1,3,0,0,0,0,40,1,0
59,5,171328,6,7,5,5,0,0,0,0,30,1,0
19,5,27382,10,1,1,4,1,1,0,0,40,1,0
58,3,259014,10,1,8,1,1,1,0,0,20,1,0
42,2,303044,9,2,9,2,0,1,0,0,40,18,1
20,3,117789,9,1,5,4,1,0,0,0,40,1,0
32,3,172579,9,5,5,1,1,0,0,0,30,1,0
45,3,187666,11,7,2,1,1,0,0,0,45,1,0
50,3,204518,4,3,7,1,1,1,0,0,40,1,0
36,3,150042,13,3,4,4,1,0,0,0,40,1,0
45,3,98092,9,2,6,2,1,1,0,0,60,1,0
17,3,245918,7,1,5,4,1,1,0,0,12,1,0
59,3,146013,10,2,6,2,1,1,4064,0,40,1,0
26,3,378322,7,2,7,2,1,1,0,0,40,1,0
37,7,257295,10,2,2,2,0,1,0,0,75,19,1
19,6,218956,10,1,12,4,1,1,0,0,24,11,0
64,3,21174,9,2,2,2,1,1,0,0,40,1,1
33,3,185480,13,1,4,1,1,0,0,0,45,1,0
33,3,222205,9,2,7,3,1,0,0,0,40,1,1
61,3,69867,9,2,2,2,1,1,0,0,40,1,1
17,3,191260,5,1,5,4,1,1,1055,0,24,1,0
50,2,30653,14,2,9,2,1,1,2407,0,98,1,0
27,5,209109,14,1,4,4,1,1,0,0,35,1,0
30,3,70377,9,3,4,4,1,0,0,0,40,1,0
43,3,477983,9,2,3,2,0,1,0,0,40,1,0
44,3,170924,10,2,7,2,1,1,7298,0,40,1,1
35,3,190174,10,1,2,1,1,0,0,0,40,1,0
25,3,193787,10,1,11,4,1,0,0,0,40,1,0
24,3,279472,10,2,10,3,1,0,7298,0,48,1,1
22,3,34918,13,1,4,1,1,0,0,0,15,12,0
42,5,97688,10,2,7,2,1,1,5178,0,40,1,1
34,3,175413,12,3,6,5,0,0,0,0,45,1,0
60,3,173960,13,3,4,1,1,0,0,0,42,1,0
21,3,205759,9,1,3,4,1,1,0,0,40,1,0
57,4,425161,14,2,6,2,1,1,15024,0,40,1,1
41,3,220531,15,2,4,2,1,1,0,0,60,1,1
50,3,176609,10,3,5,1,1,1,0,0,45,1,0
25,3,371987,13,1,2,1,1,0,0,0,40,1,0
50,3,193884,4,2,7,2,1,1,0,0,40,20,0
36,3,200352,13,2,4,2,1,1,0,0,45,1,0
31,3,127595,9,3,4,1,1,0,0,0,40,1,0
29,5,220419,13,1,13,1,1,1,0,0,56,1,0
21,3,231931,10,1,6,4,1,1,0,0,45,1,0
27,3,248402,13,1,11,5,0,0,0,0,40,1,0
65,3,111095,9,2,8,2,1,1,0,0,16,1,0
37,7,57424,13,3,6,1,1,0,0,0,60,1,0
39,6,157443,14,2,12,3,0,0,3464,0,40,5,0
24,3,278130,9,1,7,4,1,1,0,0,40,1,0
38,3,169469,9,3,6,1,1,1,0,0,80,1,0
48,3,146268,13,2,1,2,1,1,7688,0,40,1,1
21,3,153718,10,1,5,1,0,0,0,0,25,1,0
31,3,217460,9,2,8,2,1,1,0,0,45,1,1
55,3,238638,9,2,6,2,1,1,4386,0,40,1,1
24,3,303296,10,2,1,3,0,0,0,0,40,21,0
43,3,173321,9,3,1,1,1,0,0,0,40,1,0
26,3,193945,12,1,11,1,1,1,0,0,45,1,0
46,3,83082,12,1,4,1,1,0,0,0,33,1,0
35,3,193815,12,2,1,2,1,1,0,0,40,1,1
41,7,34987,10,2,9,2,1,1,0,0,54,1,1
26,3,59306,13,1,6,1,1,1,0,0,40,1,0
34,3,142897,14,2,2,2,0,1,7298,0,35,22,1
19,6,860348,10,1,12,4,0,0,0,0,25,1,0
36,2,205607,13,3,4,1,0,0,0,0,40,1,1
22,3,199698,10,1,6,4,1,1,0,0,15,1,0
24,3,191954,10,1,10,1,1,1,0,0,40,1,0
77,2,138714,10,2,6,2,1,1,0,0,40,1,0
22,3,399087,3,2,10,6,1,0,0,0,40,6,0
29,3,423158,10,1,11,1,1,0,0,0,40,1,0
62,3,159841,9,7,5,1,1,0,0,0,24,1,0
39,2,174308,9,2,2,2,1,1,0,0,40,1,0
43,3,50356,10,2,7,2,1,1,0,1485,50,1,0
35,3,186110,9,3,8,1,1,1,0,0,45,1,0
29,3,200381,7,1,2,1,1,0,0,0,40,1,0
76,2,174309,14,2,7,2,1,1,0,0,10,1,0
63,2,78383,9,2,9,2,1,1,0,0,45,1,0
23,6,211601,11,1,12,4,0,0,0,0,15,1,0
43,3,187728,10,2,4,3,1,0,0,1887,50,1,1
58,2,321171,9,2,3,2,1,1,0,0,40,1,0
66,3,127921,9,1,8,1,1,1,2050,0,55,1,0
41,3,206565,10,1,7,1,0,1,0,0,45,1,0
26,3,224563,13,1,1,1,1,1,0,0,40,1,0
47,3,178686,11,1,5,1,1,1,0,0,40,1,0
55,5,98545,6,2,1,2,1,1,0,0,40,1,0
53,3,242606,9,2,8,2,1,1,0,0,40,1,0
17,3,270942,3,1,5,6,1,1,0,0,48,6,0
30,3,94235,9,1,7,6,1,1,0,0,40,1,0
49,3,71195,14,1,4,1,1,1,0,0,60,1,0
19,3,104112,9,1,6,5,0,1,0,0,30,23,0
45,3,261192,9,2,5,2,0,1,0,0,40,1,0
26,3,94936,12,1,6,1,1,1,0,0,40,1,0
38,3,296478,11,2,7,2,1,1,7298,0,40,1,1
36,1,119272,9,2,13,2,1,1,7298,0,40,1,1
33,3,85043,9,1,9,1,1,1,0,0,20,1,0
22,1,293364,10,1,13,4,0,0,0,0,40,1,0
43,2,241895,13,1,6,1,1,1,0,0,42,1,0
67,6,36135,7,2,12,2,1,1,0,0,8,1,0
30,6,151989,11,3,12,5,1,0,0,0,40,1,0
56,3,101128,12,4,5,1,1,1,0,0,25,13,0
31,3,156464,13,1,4,4,1,1,0,0,25,1,0
33,3,117963,13,2,2,2,1,1,0,0,40,1,1
26,3,192262,9,2,5,2,1,1,0,0,40,1,0
33,3,111363,13,2,2,2,1,1,0,0,40,1,1
46,5,329752,7,2,8,2,1,1,0,0,30,1,0
59,6,372020,13,2,12,2,1,1,0,0,40,1,1
38,4,95432,9,2,1,2,1,1,0,0,40,1,1
65,3,161400,7,7,5,5,0,1,0,0,40,1,0
40,3,96129,11,2,11,2,1,1,0,0,40,1,1
42,3,111949,9,2,1,3,1,0,0,0,35,1,0
26,2,117125,5,2,7,2,1,1,0,0,40,24,0
36,3,348022,6,2,5,3,1,0,0,0,24,1,0
62,3,270092,14,2,4,2,1,1,0,0,40,1,1
43,3,180609,13,2,8,2,1,1,0,0,45,1,0
43,3,174575,13,3,2,1,1,1,0,1564,45,1,1
22,3,410439,9,4,6,1,1,1,0,0,55,1,0
28,3,92262,9,2,7,2,1,1,0,0,40,1,0
56,2,183081,10,2,6,2,1,1,0,0,45,1,0
22,3,362589,12,1,6,1,1,0,0,0,15,1,0
57,3,212448,13,3,2,1,1,0,0,0,45,1,1
39,3,481060,9,3,6,5,1,0,0,0,40,1,0
26,4,185885,10,1,1,5,1,0,0,0,15,1,0
17,3,89821,7,1,5,4,1,1,0,0,10,1,0
40,1,184018,11,2,10,2,1,1,0,0,38,1,1
45,3,256649,9,2,10,2,0,1,0,0,40,1,0
44,3,160323,9,1,7,1,0,1,0,0,40,1,0
20,5,350845,10,1,1,4,1,0,0,0,10,1,0
33,3,267404,9,2,7,3,1,0,0,0,40,1,0
23,3,35633,10,1,6,1,1,1,0,0,40,1,0
46,2,80914,14,3,2,1,1,1,0,0,30,1,0
38,3,172927,9,2,6,2,1,1,0,0,50,1,0
54,3,174319,9,3,8,1,1,1,0,0,40,1,0
46,3,214955,3,3,7,1,1,0,0,2339,45,1,0
25,3,344991,10,2,7,2,1,1,0,0,40,1,0
46,3,108699,10,3,6,1,1,0,0,0,40,1,0
36,5,117312,10,2,8,3,1,0,0,0,40,1,0
23,3,396099,9,1,5,1,1,0,0,0,25,1,0
29,3,134152,9,5,10,1,1,1,0,0,40,1,0
44,3,162028,10,2,1,3,1,0,0,2415,6,1,1
19,3,25429,10,1,1,4,1,0,0,0,16,1,0
19,3,232392,9,1,5,6,1,0,0,0,40,1,0
35,3,220098,9,2,5,3,1,0,0,0,40,1,1
27,3,301302,13,1,7,1,1,1,0,0,50,1,0
46,2,277946,12,5,7,1,1,1,0,0,40,1,0
34,1,98101,13,2,2,2,1,1,7688,0,45,5,1
34,3,196164,9,1,5,1,1,0,0,0,35,1,0
44,3,115562,10,2,11,2,1,1,0,0,40,1,0
45,3,96975,10,3,3,5,1,0,0,0,40,1,0
20,6,137300,9,1,12,6,1,0,0,0,35,1,0
25,3,86872,13,2,2,2,1,1,0,0,55,1,1
52,7,132178,13,2,2,2,1,1,0,0,50,1,1
20,3,416103,10,1,3,4,1,1,0,0,40,1,0
28,3,108574,10,1,5,1,1,0,0,0,40,1,0
50,1,288353,13,2,13,2,1,1,0,0,40,1,1
34,3,227689,11,3,11,1,1,0,0,0,64,1,0
28,3,166481,4,2,3,2,0,1,0,2179,40,8,0
41,3,445382,14,2,2,2,1,1,0,1977,65,1,1
28,3,110145,9,2,1,2,1,1,0,0,40,1,0
46,2,317253,9,2,7,2,1,1,0,0,25,1,0
28,6,123147,10,2,12,3,1,0,0,1887,40,1,1
32,3,364657,10,2,2,2,1,1,0,0,50,1,0
41,5,42346,10,3,5,1,0,0,0,0,24,1,0
24,3,241951,9,1,3,5,0,0,0,0,40,1,0
33,3,118500,10,3,2,5,1,0,0,0,40,1,0
46,3,188386,16,2,2,2,1,1,15024,0,60,1,1
31,1,1033222,10,2,10,2,1,1,0,0,40,1,0
35,3,92440,8,3,7,1,1,1,0,0,50,1,1
52,3,190762,2,2,10,2,1,1,0,0,40,6,0
30,3,426017,7,1,5,4,1,0,0,0,19,1,0
34,5,243867,7,5,10,1,0,1,0,0,40,1,0
34,1,240283,9,3,8,5,1,0,0,0,40,1,0
20,3,61777,10,2,6,2,1,1,0,0,30,1,0
17,3,175024,7,1,3,4,1,1,2176,0,18,1,0
32,1,92003,13,2,2,3,1,0,0,0,40,1,1
29,3,188401,9,3,9,1,1,1,0,0,40,1,0
33,3,228528,6,1,7,5,1,0,0,0,35,1,0
25,3,133373,9,2,8,2,1,1,0,0,60,1,0
36,4,255191,14,1,4,1,1,1,0,1408,40,1,0
23,3,204653,9,1,3,1,1,1,0,0,72,25,0
63,7,222289,9,2,2,2,1,1,0,0,40,1,1
47,5,287480,14,2,4,2,1,1,0,0,40,1,0
80,6,107762,9,7,12,1,1,1,0,0,24,1,0
17,6,202521,7,1,12,4,1,1,0,0,40,1,0
40,2,204116,13,4,4,1,1,0,2174,0,40,1,0
30,3,29662,12,2,5,3,1,0,0,0,25,1,1
27,3,116358,10,1,7,4,0,1,0,1980,40,14,0
33,3,208405,14,2,4,2,1,1,0,0,50,1,1
34,5,284843,9,1,9,1,0,1,594,0,60,1,0
34,5,117018,10,1,13,1,1,0,0,0,40,1,0
23,3,81281,10,2,1,2,1,1,0,0,40,1,0
42,5,340148,10,2,1,3,1,0,0,0,40,1,0
29,3,363425,13,1,4,1,1,1,0,0,40,1,0
45,3,45857,9,3,1,1,1,0,0,0,28,1,0
24,4,191073,9,1,14,4,1,1,0,0,40,1,0
44,3,116632,10,2,4,2,1,1,0,0,40,1,1
27,3,405855,5,1,7,6,1,1,0,0,40,6,0
20,3,298227,10,1,6,1,1,1,0,0,35,1,0
44,3,290521,9,7,2,5,0,0,0,0,40,1,0
51,3,56915,9,2,7,2,0,1,0,0,40,1,0
20,3,146538,9,2,10,2,1,1,0,0,40,1,0
17,6,258872,7,1,12,4,1,0,0,0,5,1,0
19,3,206399,9,1,10,4,0,0,0,0,40,1,0
45,7,197332,10,2,7,2,1,1,0,0,55,1,1
60,3,245062,9,2,7,2,1,1,0,0,40,1,1
42,3,197583,12,2,2,2,0,1,0,0,40,5,1
44,2,234885,9,2,6,3,1,0,0,0,40,1,1
40,3,72887,11,2,10,2,0,1,0,0,40,1,1
30,3,180374,9,2,2,3,1,0,0,0,40,1,0
38,3,351299,10,2,8,2,0,1,0,0,50,1,0
23,3,54012,9,2,8,2,1,1,0,0,60,1,0
32,6,115745,10,2,12,2,1,1,0,0,40,1,0
44,3,116632,12,1,9,4,1,1,0,0,40,1,0
54,5,288825,9,2,8,2,0,1,0,0,40,1,0
32,3,132601,13,2,4,2,1,1,0,0,50,1,0
50,3,193374,2,4,7,5,1,1,0,0,40,1,0
24,3,170070,13,1,11,1,1,0,0,0,20,1,0
37,3,126708,9,2,1,3,1,0,0,0,60,1,0
52,3,35598,9,3,8,5,1,1,0,0,40,1,0
38,3,33983,10,2,8,2,1,1,0,0,40,1,0
49,3,192776,14,2,2,2,1,1,0,1977,45,1,1
30,3,118551,13,2,11,3,1,0,0,0,16,1,1
60,3,201965,10,1,4,5,1,1,0,0,40,1,1
22,6,139883,10,1,12,4,1,1,0,0,40,1,0
35,3,285020,9,1,7,1,1,1,0,0,40,1,0
30,3,303990,9,1,8,1,1,1,0,0,60,1,0
67,3,49401,11,3,5,1,1,0,0,0,24,1,0
46,3,279196,13,1,7,1,1,0,0,0,40,1,0
